,test_acc,test_error,test_acc_OOD,test_error_OOD,CIFAR_10C_acc
0,0.44658203125,277.35,0.26734643075980397,1099.15,0.39110226738721804
1,0.6841452205882353,158.1,0.36545266544117644,949.35,0.6037285596804511
2,0.7661592371323529,116.5,0.422198606004902,865.1,0.6279003171992481
3,0.7990119485294118,100.7,0.41920381433823534,869.8,0.6318726503759399
4,0.7938591452205882,102.5,0.4382755055147059,840.6,0.671155427631579
5,0.8119083180147058,93.7,0.4285022212009804,855.8,0.6895338933270677
6,0.8138786764705882,93.0,0.42183287377450973,865.2,0.6780721334586467
7,0.8166532628676471,91.8,0.4399624693627451,838.35,0.6834248707706767
8,0.8107249540441176,94.35,0.4554285386029412,815.2,0.657454182330827
9,0.7869600183823529,106.6,0.41332337622549015,878.65,0.6442375469924811
10,0.8281939338235293,86.2,0.46149662990196083,806.25,0.6698704769736842
11,0.8133501838235293,93.05,0.42799096200980397,855.85,0.6388113839285715
12,0.8205020680147058,90.05,0.4441789215686274,832.15,0.6857671522556391
13,0.8270680147058824,86.55,0.44642501531862744,828.8,0.6772130521616542
14,0.8220358455882353,89.0,0.440054381127451,838.7,0.6757592222744361
15,0.8163832720588236,91.85,0.4417394301470588,835.55,0.657946134868421
16,0.8140912224264707,93.15,0.4304706648284314,852.35,0.6417410714285715
17,0.8223690257352942,89.05,0.4312231924019607,851.25,0.6725211466165414
18,0.8145392922794118,92.75,0.43278952205882354,850.15,0.6499574130639099
19,0.8272001378676471,86.4,0.453793275122549,817.95,0.6600681390977443
20,0.8009765625,99.65,0.4410251991421569,836.2,0.6397585761278195
21,0.8316693474264707,84.15,0.46435163909313715,801.45,0.6749295112781954
22,0.8201056985294117,89.9,0.44399701286764703,832.65,0.6620653195488722
23,0.8241153492647058,88.2,0.445806525735294,828.8,0.6649656367481204
24,0.8219669117647058,89.3,0.43683363970588235,843.15,0.6911198895676691
25,0.8246036305147058,87.95,0.44605928308823534,829.9,0.6846877937030075
26,0.8238568474264707,88.15,0.44333639705882355,834.05,0.6559342692669173
27,0.8172162224264706,91.55,0.4339326746323529,848.4,0.6607803688909775
28,0.8361270680147058,82.05,0.45253331801470587,819.4,0.6803042763157895
29,0.8315602022058824,84.25,0.4557176776960784,814.95,0.6697603383458647
30,0.8239430147058824,88.15,0.44075712316176474,837.25,0.6574394971804511
31,0.8336569393382354,83.05,0.4561217064950981,813.85,0.674819372650376
32,0.8310834099264707,84.45,0.4457337622549019,829.75,0.6642827772556391
33,0.8334616268382353,83.15,0.45248736213235297,819.95,0.6808329417293233
34,0.8430721507352942,78.45,0.4507678462009804,822.2,0.6853339403195489
35,0.8426815257352942,78.65,0.4582280177696079,810.75,0.6913107965225563
36,0.8437557444852942,78.1,0.4562136182598039,814.05,0.6907968162593985
37,0.8346852022058824,82.65,0.44347426470588236,833.1,0.6614558858082706
38,0.8336167279411765,82.8,0.45516046262254906,816.5,0.6861856790413533
39,0.8347886029411764,82.2,0.4555549172794118,814.3,0.6760749530075189
40,0.8333639705882353,83.2,0.4530043658088235,819.3,0.7007827185150376
41,0.8363453584558824,81.8,0.454754518995098,816.6,0.6825070488721805
42,0.8356732536764706,82.1,0.4552983302696079,815.45,0.6875881109022557
43,0.8314223345588235,84.15,0.458074831495098,811.5,0.6822280310150376
44,0.8393324908088236,80.1,0.4603783700980393,808.15,0.6914870183270677
45,0.841015625,79.15,0.4639150582107844,802.65,0.6931831531954887
46,0.8406996783088235,79.4,0.465948606004902,799.55,0.6901433270676691
47,0.8270278033088235,86.4,0.44727328431372537,827.55,0.6733655427631579
48,0.8371783088235294,81.6,0.46221660539215675,805.15,0.7008855145676691
49,0.8368968290441176,81.7,0.4504825367647058,822.65,0.67531132518797
50,0.8143439797794118,92.85,0.4299421721813725,854.0,0.6702008928571428
51,0.838671875,80.35,0.4556774662990196,815.05,0.68504023731203
52,0.8419462316176471,78.85,0.45735102634803926,812.7,0.6907527608082706
53,0.8309685202205882,84.25,0.4631893382352941,803.55,0.6686075540413533
54,0.8368681066176471,81.45,0.46615732230392154,799.35,0.6725358317669173
55,0.8288315716911765,85.25,0.4600911458333332,808.05,0.6715298989661654
56,0.8300551470588236,84.85,0.4469381893382354,827.2,0.673079182330827
57,0.8384650735294118,80.5,0.4605143229166666,807.45,0.672623942669173
58,0.8427159926470589,78.45,0.4642539828431372,801.75,0.6781455592105263
59,0.8368566176470589,81.45,0.4510129442401961,821.95,0.6732554041353384
