,q,r
0,-709.7827,0.0
1,-709.7827,0.0
2,-709.7827,0.0
3,-709.7827,0.0
4,-709.7827,0.0
5,-709.7827,0.0
6,-709.7827,0.0
7,-709.7827,0.0
8,-709.7827,0.0
9,-709.7827,0.0
10,-709.7827,0.0
11,-709.7827,0.0
12,-709.7827,0.0
13,-709.7827,0.0
14,-709.7827,0.0
15,-709.7827,0.0
16,-709.7827,0.0
17,-709.7827,0.0
18,-709.7827,0.0
19,-709.7827,0.0
20,-709.7827,0.0
21,-709.7827,0.0
22,-709.7827,0.0
23,-709.7827,0.0
24,-709.7827,0.0
25,-709.7827,0.0
26,-709.7827,0.0
27,-709.7827,0.0
28,-709.7827,0.0
29,-709.7827,0.0
30,-709.7827,0.0
31,-709.7827,0.0
32,-709.7827,0.0
33,-709.7827,0.0
34,-709.7827,0.0
35,-709.7827,0.0
36,-709.7827,0.0
37,-709.7827,0.0
38,-709.7827,0.0
39,-709.7827,0.0
40,-709.7827,0.0
41,-709.7827,0.0
42,-709.7827,0.0
43,-709.7827,0.0
44,-709.7827,0.0
45,-709.7827,0.0
46,-709.7827,0.0
47,-709.7827,0.0
48,-709.7827,0.0
49,-709.7827,0.0
50,-709.7827,0.0
51,-709.7827,0.0
52,-709.7827,0.0
53,-709.7827,0.0
54,-709.7827,0.0
55,-709.7827,0.0
56,-709.7827,0.0
57,-709.7827,0.0
58,-709.7827,0.0
59,-709.7827,0.0
60,-709.7827,0.0
61,-709.7827,0.0
62,-709.7827,0.0
63,-709.7827,0.0
64,-709.7827,0.0
65,-709.7827,0.0
66,-709.7827,0.0
67,-709.7827,0.0
68,-709.7827,0.0
69,-709.7827,0.0
70,-709.7827,0.0
71,-709.7827,0.0
72,-709.7827,0.0
73,-709.7827,0.0
74,-709.7827,0.0
75,-709.7827,0.0
76,-709.7827,0.0
77,-709.7827,0.0
78,-709.7827,0.0
79,-709.7827,0.0
80,-709.7827,0.0
81,-709.7827,0.0
82,-709.7827,0.0
83,-709.7827,0.0
84,-709.7827,0.0
85,-709.7827,0.0
86,-709.7827,0.0
87,-709.7827,0.0
88,-709.7827,0.0
89,-709.7827,0.0
90,-709.7827,0.0
91,-709.7827,0.0
92,-709.7827,0.0
93,-709.7827,0.0
94,-709.7827,0.0
95,-709.7827,0.0
96,-709.7827,0.0
97,-709.7827,0.0
98,-709.7827,0.0
99,-709.7827,0.0
100,-709.7827,0.0
101,-709.7827,0.0
102,-709.7827,0.0
103,-709.7827,0.0
104,-709.7827,0.0
105,-709.7827,0.0
106,-709.7827,0.0
107,-709.7827,0.0
108,-709.7827,0.0
109,-709.7827,0.0
110,-709.7827,0.0
111,-709.7827,0.0
112,-709.7827,0.0
113,-709.7827,0.0
114,-709.7827,0.0
115,-709.7827,0.0
116,-709.7827,0.0
117,-709.7827,0.0
118,-709.7827,0.0
119,-709.7827,0.0
120,-709.7827,0.0
121,-709.7827,0.0
122,-709.7827,0.0
123,-709.7827,0.0
124,-709.7827,0.0
125,-709.7827,0.0
126,-709.7827,0.0
127,-709.7827,0.0
